"filename", "language", "Python", "Markdown", "comment", "blank", "total"
"c:\Users\andre\Documents\Projects\PlanScript\planscript\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\Users\andre\Documents\Projects\PlanScript\planscript\__main__.py", "Python", 4, 0, 0, 2, 6
"c:\Users\andre\Documents\Projects\PlanScript\planscript\app.py", "Python", 154, 0, 6, 44, 204
"c:\Users\andre\Documents\Projects\PlanScript\planscript\cli\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\Users\andre\Documents\Projects\PlanScript\planscript\cli\display.py", "Python", 238, 0, 1, 57, 296
"c:\Users\andre\Documents\Projects\PlanScript\planscript\cli\gantt.py", "Python", 29, 0, 1, 3, 33
"c:\Users\andre\Documents\Projects\PlanScript\planscript\engine\TRACKING_DESIGN.md", "Markdown", 0, 363, 0, 189, 552
"c:\Users\andre\Documents\Projects\PlanScript\planscript\engine\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\Users\andre\Documents\Projects\PlanScript\planscript\engine\analyzer.py", "Python", 61, 0, 39, 22, 122
"c:\Users\andre\Documents\Projects\PlanScript\planscript\engine\reporter.py", "Python", 128, 0, 4, 38, 170
"c:\Users\andre\Documents\Projects\PlanScript\planscript\engine\scheduler.py", "Python", 183, 0, 85, 63, 331
"c:\Users\andre\Documents\Projects\PlanScript\planscript\engine\tracker.py", "Python", 145, 0, 66, 44, 255
"c:\Users\andre\Documents\Projects\PlanScript\planscript\exceptions.py", "Python", 4, 0, 0, 2, 6
"c:\Users\andre\Documents\Projects\PlanScript\planscript\model\__init__.py", "Python", 3, 0, 10, 1, 14
"c:\Users\andre\Documents\Projects\PlanScript\planscript\model\calendar.py", "Python", 38, 0, 0, 19, 57
"c:\Users\andre\Documents\Projects\PlanScript\planscript\model\dependency.py", "Python", 48, 0, 40, 24, 112
"c:\Users\andre\Documents\Projects\PlanScript\planscript\model\hierarchy.py", "Python", 71, 0, 23, 39, 133
"c:\Users\andre\Documents\Projects\PlanScript\planscript\model\project.py", "Python", 131, 0, 99, 51, 281
"c:\Users\andre\Documents\Projects\PlanScript\planscript\model\schedule.py", "Python", 17, 0, 31, 4, 52
"c:\Users\andre\Documents\Projects\PlanScript\planscript\model\task.py", "Python", 19, 0, 23, 10, 52
"c:\Users\andre\Documents\Projects\PlanScript\planscript\parser\DESIGN.md", "Markdown", 0, 401, 0, 329, 730
"c:\Users\andre\Documents\Projects\PlanScript\planscript\parser\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\Users\andre\Documents\Projects\PlanScript\planscript\parser\parser.py", "Python", 267, 0, 23, 78, 368
"c:\Users\andre\Documents\Projects\PlanScript\planscript\serializer\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\Users\andre\Documents\Projects\PlanScript\planscript\serializer\plan_serializer.py", "Python", 44, 0, 5, 12, 61
"c:\Users\andre\Documents\Projects\PlanScript\planscript\tests\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\Users\andre\Documents\Projects\PlanScript\planscript\tests\test_model.py", "Python", 149, 0, 0, 43, 192
"c:\Users\andre\Documents\Projects\PlanScript\planscript\tests\test_parser.py", "Python", 569, 0, 39, 173, 781
"c:\Users\andre\Documents\Projects\PlanScript\planscript\tests\test_performance.py", "Python", 438, 0, 6, 64, 508
"c:\Users\andre\Documents\Projects\PlanScript\planscript\tests\test_projects.py", "Python", 337, 0, 111, 160, 608
"c:\Users\andre\Documents\Projects\PlanScript\planscript\tests\test_reporter.py", "Python", 22, 0, 0, 3, 25
"c:\Users\andre\Documents\Projects\PlanScript\planscript\tests\test_scheduler.py", "Python", 221, 0, 7, 128, 356
"c:\Users\andre\Documents\Projects\PlanScript\planscript\tests\test_tracking.py", "Python", 232, 0, 5, 52, 289
"Total", "-", 3552, 764, 624, 1660, 6600
